Country Name,"Country Code","Series Name","Series Code","2000 [YR2000]","2005 [YR2005]","2010 [YR2010]","2015 [YR2015]","2020 [YR2020]"
Cuba,"CUB","Population, total","SP.POP.TOTL","11109109","11262554","11297409","11275065","11176354"
Cuba,"CUB","GDP (current US$)","NY.GDP.MKTP.CD","30565400000","42643836100","59562962962.963","87132800000","107351800000"
Cuba,"CUB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","75.922","77.54","77.876","77.745","77.407"
Curacao,"CUW","Population, total","SP.POP.TOTL","133860","137658","148703","157980","154947"
Curacao,"CUW","GDP (current US$)","NY.GDP.MKTP.CD","2120511229.05028","2344637262.56983","2951342793.29609","3058779217.87709","2534327592.49914"
Curacao,"CUW","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","73.283","73.873","75.117","76.482","76.501"
Cyprus,"CYP","Population, total","SP.POP.TOTL","947667","1036151","1127816","1219502","1302247"
Cyprus,"CYP","GDP (current US$)","NY.GDP.MKTP.CD","9985847313.85485","18433412510.8817","25799940077.6075","19909278416.8575","25555093854.2968"
Cyprus,"CYP","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","77.9","79.198","80.632","81.464","81.23"
Czechia,"CZE","Population, total","SP.POP.TOTL","10255063","10211216","10474410","10546059","10697858"
Czechia,"CZE","GDP (current US$)","NY.GDP.MKTP.CD","62175642238.0847","137264185596.1","211168667286.27","189107698561.919","251109660602.536"
Czechia,"CZE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","74.9682926829268","75.9243902439025","77.4243902439025","78.5780487804878","78.2268292682927"
Denmark,"DNK","Population, total","SP.POP.TOTL","5339616","5419432","5547683","5683483","5831404"
Denmark,"DNK","GDP (current US$)","NY.GDP.MKTP.CD","164043817223.59","265150087711.985","322345594075.47","301758922337.637","355631021931.621"
Denmark,"DNK","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","76.5926829268293","77.8439024390244","79.1","80.7024390243902","81.6024390243903"
Djibouti,"DJI","Population, total","SP.POP.TOTL","747318","839167","930251","1020313","1105188"
Djibouti,"DJI","GDP (current US$)","NY.GDP.MKTP.CD","551230861.856505","708633194.726566","1128611700.3618","2424391785.43897","3144136196.6228"
Djibouti,"DJI","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","56.734","58.548","60.743","62.833","64.2"
Dominica,"DMA","Population, total","SP.POP.TOTL","68511","68734","68859","70410","67573"
Dominica,"DMA","GDP (current US$)","NY.GDP.MKTP.CD","333470370.37037","391455555.555556","519859259.259259","583177777.777778","528944444.444444"
Dominica,"DMA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","71.715","72.016","71.68","69.968","71.269"
